"","temp","year","doy"
"930",15.3,1957,167
"931",15.44,1957,197
"932",15.44,1957,229
"933",14.75,1957,259
"934",13.65,1957,288
"935",12.61,1957,321
"936",12,1957,350
"937",11.97,1958,14
"938",12.06,1958,47
"939",12.6,1958,76
"940",13.53,1958,105
"941",14.53,1958,138
"942",15.06,1958,167
"943",15.47,1958,197
"944",15.24,1958,229
"945",14.64,1958,259
"946",13.68,1958,288
"947",12.56,1958,321
"948",11.86,1958,350
"949",11.66,1959,14
"950",11.91,1959,47
"951",12.7,1959,76
"952",13.68,1959,105
"953",14.51,1959,138
"954",15.18,1959,167
"955",15.45,1959,197
"956",15.28,1959,229
"957",14.6,1959,259
"958",13.57,1959,288
"959",12.46,1959,321
"960",11.85,1959,350
"961",11.58,1960,14
"962",11.97,1960,47
"963",12.17,1960,76
"964",13.37,1960,105
"965",14.39,1960,138
"966",15.11,1960,167
"967",15.38,1960,197
"968",15.31,1960,229
"969",14.73,1960,259
"970",13.7,1960,288
"971",12.43,1960,321
"972",12.04,1960,350
"973",11.65,1961,14
"974",12.03,1961,47
"975",12.61,1961,76
"976",13.65,1961,105
"977",14.59,1961,138
"978",15.26,1961,167
"979",15.43,1961,197
"980",15.3,1961,229
"981",14.75,1961,259
"982",13.64,1961,288
"983",12.57,1961,321
"984",11.69,1961,350
"985",11.63,1962,14
"986",11.99,1962,47
"987",12.62,1962,76
"988",13.57,1962,105
"989",14.41,1962,138
"990",15.18,1962,167
"991",15.44,1962,197
"992",15.28,1962,229
"993",14.66,1962,259
"994",13.65,1962,288
"995",12.6,1962,321
"996",11.82,1962,350
"997",11.55,1963,14
"998",12.02,1963,47
"999",12.38,1963,76
"1000",13.45,1963,105
"1001",14.41,1963,138
"1002",15.2,1963,167
"1003",15.48,1963,197
"1004",15.51,1963,229
"1005",14.84,1963,259
"1006",13.79,1963,288
"1007",12.69,1963,321
"1008",11.82,1963,350
"1009",11.49,1964,14
"1010",11.74,1964,47
"1011",12.31,1964,76
"1012",13.2,1964,105
"1013",14.22,1964,138
"1014",15.11,1964,167
"1015",15.38,1964,197
"1016",15.07,1964,229
"1017",14.37,1964,259
"1018",13.32,1964,288
"1019",12.33,1964,321
"1020",11.55,1964,350
"1021",11.5,1965,14
"1022",11.67,1965,47
"1023",12.39,1965,76
"1024",13.33,1965,105
"1025",14.35,1965,138
"1026",15.07,1965,167
"1027",15.29,1965,197
"1028",15.25,1965,229
"1029",14.51,1965,259
"1030",13.59,1965,288
"1031",12.48,1965,321
"1032",11.77,1965,350
"1033",11.39,1966,14
"1034",11.8,1966,47
"1035",12.56,1966,76
"1036",13.39,1966,105
"1037",14.35,1966,138
"1038",15.16,1966,167
"1039",15.5,1966,197
"1040",15.2,1966,229
"1041",14.63,1966,259
"1042",13.47,1966,288
"1043",12.53,1966,321
"1044",11.82,1966,350
"1045",11.5,1967,14
"1046",11.63,1967,47
"1047",12.57,1967,76
"1048",13.47,1967,105
"1049",14.59,1967,138
"1050",15.07,1967,167
"1051",15.44,1967,197
"1052",15.3,1967,229
"1053",14.6,1967,259
"1054",13.73,1967,288
"1055",12.49,1967,321
"1056",11.8,1967,350
"1057",11.33,1968,14
"1058",11.7,1968,47
"1059",12.72,1968,76
"1060",13.46,1968,105
"1061",14.33,1968,138
"1062",15.06,1968,167
"1063",15.29,1968,197
"1064",15.2,1968,229
"1065",14.47,1968,259
"1066",13.73,1968,288
"1067",12.49,1968,321
"1068",11.71,1968,350
"1069",11.47,1969,14
"1070",11.66,1969,47
"1071",12.53,1969,76
"1072",13.69,1969,105
"1073",14.65,1969,138
"1074",15.18,1969,167
"1075",15.38,1969,197
"1076",15.33,1969,229
"1077",14.75,1969,259
"1078",13.73,1969,288
"1079",12.66,1969,321
"1080",12.09,1969,350
"1081",11.66,1970,14
"1082",12.06,1970,47
"1083",12.58,1970,76
"1084",13.57,1970,105
"1085",14.43,1970,138
"1086",15.12,1970,167
"1087",15.43,1970,197
"1088",15.19,1970,229
"1089",14.78,1970,259
"1090",13.67,1970,288
"1091",12.56,1970,321
"1092",11.73,1970,350
"1093",11.55,1971,14
"1094",11.68,1971,47
"1095",12.34,1971,76
"1096",13.45,1971,105
"1097",14.42,1971,138
"1098",14.98,1971,167
"1099",15.34,1971,197
"1100",15.28,1971,229
"1101",14.6,1971,259
"1102",13.6,1971,288
"1103",12.47,1971,321
"1104",11.76,1971,350
"1105",11.36,1972,14
"1106",11.66,1972,47
"1107",12.54,1972,76
"1108",13.52,1972,105
"1109",14.44,1972,138
"1110",15.19,1972,167
"1111",15.43,1972,197
"1112",15.45,1972,229
"1113",14.68,1972,259
"1114",13.72,1972,288
"1115",12.56,1972,321
"1116",12.03,1972,350
"1117",11.87,1973,14
"1118",12.17,1973,47
"1119",12.81,1973,76
"1120",13.79,1973,105
"1121",14.7,1973,138
"1122",15.34,1973,167
"1123",15.55,1973,197
"1124",15.34,1973,229
"1125",14.75,1973,259
"1126",13.74,1973,288
"1127",12.59,1973,321
"1128",11.78,1973,350
"1129",11.48,1974,14
"1130",11.57,1974,47
"1131",12.47,1974,76
"1132",13.41,1974,105
"1133",14.43,1974,138
"1134",15.1,1974,167
"1135",15.39,1974,197
"1136",15.4,1974,229
"1137",14.59,1974,259
"1138",13.58,1974,288
"1139",12.46,1974,321
"1140",11.77,1974,350
"1141",11.68,1975,14
"1142",11.92,1975,47
"1143",12.64,1975,76
"1144",13.56,1975,105
"1145",14.63,1975,138
"1146",15.14,1975,167
"1147",15.41,1975,197
"1148",15.12,1975,229
"1149",14.63,1975,259
"1150",13.53,1975,288
